Bitcoin, BTC, https://coinmarketcap.com/currencies/bitcoin/, $49,238,421,494
Ethereum, ETH, https://coinmarketcap.com/currencies/ethereum/, $22,922,540,528
Binance Coin, BNB, https://coinmarketcap.com/currencies/binance-coin/, $8,516,153,519
Cardano, ADA, https://coinmarketcap.com/currencies/cardano/, $5,362,691,007
Tether, USDT, https://coinmarketcap.com/currencies/tether/, $94,486,724,342
Polkadot, DOT, https://coinmarketcap.com/currencies/polkadot-new/, $3,049,078,406
XRP, XRP, https://coinmarketcap.com/currencies/xrp/, $3,312,993,549
Uniswap, UNI, https://coinmarketcap.com/currencies/uniswap/, $865,400,395
Litecoin, LTC, https://coinmarketcap.com/currencies/litecoin/, $5,505,271,714
Chainlink, LINK, https://coinmarketcap.com/currencies/chainlink/, $1,614,482,434
